Plugin ID,CVE,Risk,Name,Host,Port,Protocol,EPSS,VPR,Synopsis
910101,,None,LLM Inference Service Detection (Ollama),10.10.20.15,11434,tcp,,,"Ollama 0.1.32 LLM inference server detected on tcp/11434. The /api/tags endpoint responded WITHOUT authentication. Loaded models: llama3.1:8b-instruct-q4_K_M, qwen2.5:14b-instruct, nomic-embed-text:latest. GPU: NVIDIA A100-40GB. This confirms an internally-hosted LLM in production use."
177063,CVE-2024-37032,Critical,Ollama Path Traversal Remote Code Execution (Probllama),10.10.20.15,11434,tcp,0.86,9.4,"Ollama before 0.1.34 is affected by a path traversal in the model pull/push API (digest handling) allowing arbitrary file write and remote code execution on the inference host. The exposed unauthenticated API on tcp/11434 is directly exploitable."
177065,CVE-2024-39720,High,Ollama Out-of-Bounds Read Denial of Service via crafted GGUF,10.10.20.15,11434,tcp,0.44,7.6,"Ollama is vulnerable to a denial of service via a crafted GGUF model file that triggers an out-of-bounds read in the /api/create path, crashing the inference service."
177066,CVE-2024-39722,High,Ollama Path Traversal File Existence Disclosure,10.10.20.15,11434,tcp,0.37,6.9,"Ollama exposes an api/push path traversal that lets an attacker determine the existence of arbitrary files on the server, leaking filesystem layout."
177067,CVE-2024-39719,Medium,Ollama File Existence Disclosure via api/create,10.10.20.15,11434,tcp,0.21,5.3,"By supplying a crafted path to /api/create, an attacker can infer the existence of files on the host, aiding further attacks."
198012,CVE-2024-6387,Critical,OpenSSH regreSSHion Remote Code Execution,10.10.20.15,22,tcp,0.93,9.8,"The OpenSSH server (sshd) on this host is affected by CVE-2024-6387 (regreSSHion), a signal handler race condition permitting unauthenticated remote code execution as root on glibc-based Linux."
205001,CVE-2024-0132,Critical,NVIDIA Container Toolkit Container Escape (TOCTOU),10.10.20.15,,tcp,0.12,8.9,"The NVIDIA Container Toolkit used to expose the A100 GPU to the Ollama container is affected by a TOCTOU container-escape flaw, allowing a malicious container image to gain host root. LLM/GPU workloads that pull external images are directly at risk."
188044,CVE-2023-44487,High,HTTP/2 Rapid Reset Denial of Service (nginx reverse proxy),10.10.20.15,443,tcp,0.71,7.5,"The nginx reverse proxy fronting the LLM API is vulnerable to HTTP/2 Rapid Reset, enabling a low-bandwidth DDoS that can exhaust the inference gateway."
166901,CVE-2023-38545,Medium,curl SOCKS5 Heap Buffer Overflow,10.10.20.15,,tcp,0.09,5.4,"The curl version bundled in the container image is affected by a heap buffer overflow in SOCKS5 proxy handling."
119001,,Low,SSL Certificate Signed Using Weak Hashing Algorithm,10.10.20.15,443,tcp,,,"The X.509 certificate on the LLM gateway is signed with SHA-1, which is cryptographically weak."
