Plugin ID,CVE,Risk,Host,Name,Description,EPSS,VPR,Port,Protocol
190711,CVE-2021-44228,Critical,10.10.20.11,Apache Log4j 원격코드실행 (Log4Shell),JNDI 조회를 통해 인증 없이 원격에서 코드를 실행할 수 있습니다. CISA KEV 등재.,0.9744,10.0,8080,tcp
118036,CVE-2024-3400,Critical,10.10.20.31,PAN-OS GlobalProtect 명령 주입,GlobalProtect 게이트웨이에서 인증 없이 임의 명령을 실행할 수 있습니다. CISA KEV 등재.,0.9412,9.8,443,tcp
189102,CVE-2023-4966,High,10.10.20.31,Citrix NetScaler 세션 토큰 유출 (CitrixBleed),세션 토큰이 응답에 노출되어 다중인증을 우회한 세션 탈취가 가능합니다. CISA KEV 등재.,0.9631,9.4,443,tcp
161948,CVE-2023-27997,High,10.10.20.12,Fortinet FortiOS SSL-VPN 힙 오버플로,SSL-VPN 처리 과정의 힙 오버플로로 인증 전 원격코드실행이 가능합니다.,0.8820,9.2,10443,tcp
156103,CVE-2022-22965,High,10.10.20.11,Spring Framework RCE (Spring4Shell),데이터 바인딩을 통해 클래스로더를 조작해 원격코드실행이 가능합니다.,0.9736,8.8,8080,tcp
174226,CVE-2023-46747,High,10.10.20.32,F5 BIG-IP 인증 우회,관리 인터페이스에서 인증을 우회해 임의 명령을 실행할 수 있습니다.,0.9410,9.1,8443,tcp
201455,CVE-2024-6387,High,10.10.20.21,OpenSSH regreSSHion 경쟁 상태,신호 처리 경쟁 상태로 인증 전 원격코드실행 가능성이 있습니다.,0.4870,8.1,22,tcp
142960,CVE-2020-1472,Critical,10.10.20.41,Netlogon 권한 상승 (Zerologon),도메인 컨트롤러 계정 암호를 재설정해 도메인 관리자 권한을 얻을 수 있습니다. CISA KEV 등재.,0.9748,10.0,445,tcp
121010,CVE-2019-0708,Critical,10.10.20.22,원격 데스크톱 사전인증 RCE (BlueKeep),RDP 사전 인증 단계에서 원격코드실행이 가능합니다. CISA KEV 등재.,0.9754,9.8,3389,tcp
138506,,Medium,10.10.20.21,SSL 인증서 만료 임박,서버 인증서가 21일 뒤 만료됩니다. 갱신하지 않으면 접속 경고가 표시됩니다.,,4.2,443,tcp
104743,,Medium,10.10.20.12,TLS 1.0/1.1 사용,낡은 프로토콜을 지원해 중간자 공격에 노출될 수 있습니다.,,5.3,443,tcp
51192,,Medium,10.10.20.32,자체 서명 인증서 사용,신뢰할 수 없는 인증서라 접속자가 경고를 무시하는 습관이 생깁니다.,,4.8,8443,tcp
10114,,Low,10.10.20.22,ICMP 타임스탬프 응답,서버 시각이 노출되어 일부 공격의 사전 정보로 쓰일 수 있습니다.,,2.1,0,icmp
11219,,Low,10.10.20.41,SMB 서명 미적용,SMB 서명이 꺼져 있어 중계 공격에 취약합니다.,,3.4,445,tcp
